Date,Return,D/P,D_grows,T-bill_ret
19261231,0.096903,0.05265264,NaN,0.036026
19271231,0.334281,0.04855006,0.17335045,0.030917
19281231,0.390488,0.04024562,0.10805218,0.044427
19291231,-0.150244,0.03825669,-0.22200232,0.049219
19301231,-0.288163,0.04801354,-0.14754788,0.027487
19311231,-0.443574,0.06300148,-0.31315215,0.00707
19321231,-0.084733,0.07071564,-0.04051464,0.008713
19331230,0.575033,0.04253245,-0.09133252,0.004655
19341231,0.042697,0.0418937,-0.01425845,0.003301
19351231,0.448374,0.04215013,0.39830094,0.001619
19361231,0.321524,0.04458309,0.33814529,0.00186
19371231,-0.346108,0.05610218,-0.22087047,0.004442
19381231,0.281558,0.0441616,-0.03386995,0.000436
19391230,0.021159,0.04886261,0.07722556,0.000173
19401231,-0.074451,0.06002238,0.07255839,0.000192
19411231,-0.096283,0.07231112,0.0153213,-0.00681
19421231,0.162997,0.07034869,0.05707124,0.003953
19431231,0.280559,0.05253039,-0.09151113,0.004073
19441230,0.213527,0.05095662,0.12009438,0.003977
19451231,0.384458,0.04145093,0.08137074,0.003996
19461231,-0.059003,0.04229794,-0.078742,0.003822
19471231,0.03379,0.05722984,0.32301962,0.005704
19481231,0.023368,0.06491569,0.09004318,0.008594
19491231,0.201024,0.07100219,0.22654485,0.011408
19501230,0.300232,0.0715662,0.22303267,0.012003
19511231,0.20827,0.05843387,-0.06791197,0.015681
19521231,0.132935,0.05523686,0.01489089,0.019072
19531231,0.00353,0.05698935,-0.02045473,0.022213
19541231,0.501759,0.04922508,0.23630116,0.011279
19551230,0.253033,0.04167851,0.01848495,0.015976
19561231,0.084737,0.04036641,0.00982489,0.027779
19571231,-0.103731,0.04334277,-0.07762426,0.037516
19581231,0.448342,0.03960028,0.27287664,0.020534
19591231,0.125995,0.03283153,-0.09614273,0.035866
19601230,0.01156,0.03474766,0.03464565,0.038432
19611229,0.269443,0.02955804,0.0488476,0.025207
19621231,-0.103181,0.0343444,0.00744175,0.029415
19631231,0.208876,0.03234765,0.10291645,0.032567
19641231,0.163038,0.03061345,0.06799106,0.037699
19651231,0.14386,0.03056021,0.1080098,0.040695
19661230,-0.086888,0.03388882,-0.02062193,0.052043
19671229,0.285666,0.03079312,0.13332346,0.047437
19681231,0.141689,0.02928213,0.05478096,0.055497
19691231,-0.108362,0.03092648,-0.0865418,0.069772
19701231,0.000722,0.03602025,0.1250231,0.078257
19711231,0.161989,0.02999878,-0.06044506,0.049409
19721229,0.173406,0.02699727,0.02824193,0.042116
19731231,-0.187479,0.03081976,-0.10016825,0.071537
19741231,-0.279412,0.04525753,0.01233745,0.085117
19751231,0.373582,0.04202837,0.22412771,0.068647
19761231,0.267693,0.03981367,0.15491034,0.056758
19771230,-0.029769,0.04662522,0.08560692,0.054138
19781229,0.085448,0.05087322,0.12700805,0.073612
19791231,0.244092,0.05176161,0.20352122,0.106025
19801231,0.332392,0.04807948,0.18083647,0.125936
19811231,-0.039864,0.04768701,-0.09104673,0.164605
19821231,0.204216,0.05406451,0.29523734,0.131985
19831230,0.226503,0.04040211,-0.11903392,0.093317
19841231,0.03162,0.04360792,0.06694916,0.111154
19851231,0.314113,0.03914077,0.13506893,0.085266
19861231,0.155619,0.03375666,-0.0358901,0.067499
19871231,0.018309,0.03232174,-0.05550499,0.066396
19881230,0.175554,0.04050756,0.41592027,0.068606
19891229,0.284321,0.03552061,0.08757466,0.090311
19901231,-0.060836,0.036463,-0.06983569,0.084378
19911231,0.336436,0.03093413,0.09977235,0.063854
19921231,0.090646,0.02777689,-0.04713672,0.039166
19931231,0.115889,0.02564553,0.00450418,0.03248
19941230,-0.007573,0.02611858,-0.01499392,0.042775
19951229,0.356721,0.02387779,0.21139829,0.060922
19961231,0.211786,0.02028898,0.00918068,0.054145
19971231,0.303523,0.0168949,0.06742668,0.054943
19981231,0.222596,0.01458818,0.04049141,0.053026
19991231,0.252649,0.01309958,0.11028274,0.049227
20001229,-0.110503,0.01113445,-0.25226602,0.061522
20011231,-0.112648,0.01346448,0.0587858,0.044809
20021231,-0.208427,0.01627951,-0.05826289,0.017951
20031231,0.331428,0.01801405,0.44721759,0.011604
20041231,0.129964,0.01939713,0.19356833,0.01308
20051230,0.073169,0.01828255,-0.00665713,0.03079
20061229,0.162074,0.01895111,0.18216537,0.048354
20071231,0.073133,0.01904224,0.05814391,0.050863
20081231,-0.38299,0.02372277,-0.24914288,0.020446
20091231,0.316186,0.02505899,0.35633384,0.002232
20101231,0.17887,0.02153254,-0.00838002,0.001286
20111230,-0.009006,0.02100333,-0.05324673,0.00099
20121231,0.159775,0.02530701,0.36292674,0.001079
