,symbol,order_type,number_of_shares,date,AGN_COUNT,NFLX_COUNT,CPB_COUNT,VFC_COUNT,SRCL_COUNT,HAR_COUNT,TAP_COUNT,AON_COUNT,RAI_COUNT,RF_COUNT,SIAL_COUNT,WEC_COUNT,GIS_COUNT,URBN_COUNT,BF.B_COUNT,WMT_COUNT,XLNX_COUNT,OI_COUNT,ROST_COUNT,APD_COUNT,TSN_COUNT,AEP_COUNT,AET_COUNT,KSS_COUNT,WFM_COUNT,KO_COUNT,FDO_COUNT,IFF_COUNT,AEE_COUNT,NVDA_COUNT,TSS_COUNT,PG_COUNT,FSLR_COUNT,AMT_COUNT,SYMC_COUNT,C_COUNT,HCBK_COUNT,SHW_COUNT,EA_COUNT,ORLY_COUNT,S_COUNT,ICE_COUNT,PBI_COUNT,BDX_COUNT,TRV_COUNT,CBG_COUNT,MOS_COUNT,OKE_COUNT,MON_COUNT,NEM_COUNT,TWC_COUNT,ATI_COUNT,FLIR_COUNT,BCR_COUNT,DLTR_COUNT,SEE_COUNT,WPO_COUNT,BBBY_COUNT,DGX_COUNT,EXPE_COUNT,JDSU_COUNT,F_COUNT,CF_COUNT,GME_COUNT,JEC_COUNT,CLX_COUNT,RDC_COUNT,DNR_COUNT,TDC_COUNT,LMT_COUNT,VMC_COUNT,KR_COUNT,KEY_COUNT,CTAS_COUNT,MOLX_COUNT,DO_COUNT,AZO_COUNT,DF_COUNT,BAX_COUNT,SWY_COUNT,CAH_COUNT,CVH_COUNT,DV_COUNT,AIG_COUNT,CAG_COUNT,TXN_COUNT,MNST_COUNT,LH_COUNT,ORCL_COUNT,CELG_COUNT,PRGO_COUNT,GOOG_COUNT,IP_COUNT,STJ_COUNT,INTU_COUNT,VZ_COUNT,XOM_COUNT,ISRG_COUNT,MCD_COUNT,PBCT_COUNT,PNC_COUNT,total_value,cash,AGN,NFLX,CPB,VFC,SRCL,HAR,TAP,AON,RAI,RF,SIAL,WEC,GIS,URBN,BF.B,WMT,XLNX,OI,ROST,APD,TSN,AEP,AET,KSS,WFM,KO,FDO,IFF,AEE,NVDA,TSS,PG,FSLR,AMT,SYMC,C,HCBK,SHW,EA,ORLY,S,ICE,PBI,BDX,TRV,CBG,MOS,OKE,MON,NEM,TWC,ATI,FLIR,BCR,DLTR,SEE,WPO,BBBY,DGX,EXPE,JDSU,F,CF,GME,JEC,CLX,RDC,DNR,TDC,LMT,VMC,KR,KEY,CTAS,MOLX,DO,AZO,DF,BAX,SWY,CAH,CVH,DV,AIG,CAG,TXN,MNST,LH,ORCL,CELG,PRGO,GOOG,IP,STJ,INTU,VZ,XOM,ISRG,MCD,PBCT,PNC,SPY
0,GOOG,BUY,100.0,2008-02-26 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100000.0,53581.0,62.6,29.0,28.77,69.35,56.48,42.69,47.34,40.35,24.11,20.66,53.35,19.56,25.24,30.98,49.17,46.17,20.23,57.64,14.01,85.0,13.61,34.37,50.81,45.68,36.07,25.97,19.68,39.17,33.48,22.5,21.46,59.03,220.69,40.83,17.57,238.14,13.4,49.73,47.93,28.82,9.29,135.51,27.98,83.98,43.82,21.76,113.31,20.42,113.07,47.33,61.72,78.57,30.17,94.76,8.8,22.74,658.79,30.44,46.65,34.86,13.65,6.43,125.07,45.82,83.21,51.4,41.24,32.55,26.03,90.08,64.49,24.0,21.8,28.22,20.28,92.0,124.93,22.82,54.33,27.51,34.47,54.05,45.86,844.63,19.21,28.49,22.0,79.4,18.66,56.63,34.21,464.19,28.34,43.15,27.42,28.47,80.76,296.23,48.71,14.24,57.39,126.16
1,,,,2008-02-27 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100867.0,53581.0,61.53,32.43,28.4,68.98,56.59,42.31,47.83,40.91,23.76,20.69,54.01,19.16,25.03,30.78,49.04,46.19,20.63,58.31,13.88,85.14,14.12,33.91,50.47,45.33,35.34,26.2,19.37,40.12,33.01,22.85,21.82,58.62,217.69,40.11,17.5,245.49,13.65,50.08,47.36,28.65,8.95,134.66,27.8,83.7,43.14,21.96,110.9,20.19,111.68,48.21,62.82,77.19,29.82,92.1,9.71,22.65,656.4,30.52,46.21,34.67,13.77,6.51,121.68,46.11,83.04,51.27,40.58,31.96,26.49,89.58,64.38,23.55,22.03,27.72,20.33,90.09,122.25,22.94,53.9,26.88,34.28,53.23,47.45,858.26,18.88,28.74,21.95,78.88,18.64,56.98,33.92,472.86,28.51,42.19,27.31,28.15,80.31,294.92,47.74,14.13,57.6,126.03
2,,,,2008-02-28 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,101120.0,53581.0,60.11,31.54,28.45,68.23,55.88,41.59,48.59,40.39,23.51,19.55,52.68,19.16,24.81,29.53,48.35,45.54,20.14,56.4,13.49,83.51,14.17,33.69,49.97,43.73,35.55,25.94,18.59,39.88,32.89,21.99,21.23,58.41,205.26,40.32,17.29,238.71,13.49,48.49,47.23,28.11,8.09,133.95,27.09,83.92,42.13,21.53,110.81,20.27,110.97,49.57,62.55,78.19,28.17,92.98,9.44,21.87,667.68,29.39,46.13,33.57,13.31,6.53,122.98,43.82,83.7,50.48,41.41,32.67,26.05,89.76,64.71,23.29,21.16,27.82,20.04,90.81,119.73,22.76,54.0,26.72,34.08,52.61,46.12,823.77,18.84,28.37,22.08,78.84,18.86,57.49,33.57,475.39,27.97,42.2,27.44,28.76,80.3,289.91,47.45,14.11,56.87,124.8
3,,,,2008-02-29 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100699.0,53581.0,58.45,31.58,27.94,65.94,53.89,40.63,48.33,39.22,23.33,18.89,52.24,19.0,24.44,28.78,46.67,44.54,19.95,56.45,13.25,81.19,13.73,32.8,48.22,42.96,34.23,25.5,17.74,38.76,32.42,21.39,20.55,57.73,205.15,38.19,16.84,226.31,13.05,47.19,47.29,26.96,7.11,130.3,26.47,82.77,40.65,20.06,109.07,19.57,108.31,48.01,61.23,71.5,27.96,91.44,8.94,21.35,656.97,28.34,45.92,32.81,13.15,6.44,118.95,41.2,80.29,50.06,39.89,31.89,25.23,88.09,63.21,22.44,20.16,26.67,19.56,89.21,115.08,21.3,53.18,26.1,33.2,51.48,42.96,769.73,18.65,27.4,20.75,77.31,18.27,56.41,32.66,471.18,27.21,41.65,26.27,28.1,78.18,281.92,47.01,13.89,55.63,122.02
4,,,,2008-03-03 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,99283.0,53581.0,57.89,30.94,27.72,65.86,54.62,41.38,47.3,38.91,23.2,18.35,53.6,19.18,24.68,29.15,47.9,44.81,19.73,54.98,13.42,82.3,14.26,33.02,48.14,43.8,34.22,25.75,18.18,38.83,32.19,21.14,20.71,57.87,207.49,37.81,16.85,220.39,13.15,47.74,47.72,27.26,6.98,132.93,26.53,82.56,40.73,20.04,109.68,19.88,111.08,49.14,61.7,70.72,28.56,92.46,9.29,21.84,640.87,28.81,45.77,31.91,12.99,6.1,117.39,41.57,81.3,50.09,40.17,31.99,25.98,88.77,64.24,22.97,19.77,26.86,19.7,89.3,117.72,21.49,53.16,25.83,33.19,51.91,43.49,766.93,18.71,27.37,20.27,76.9,18.41,56.3,32.34,457.02,27.3,41.66,26.59,28.07,78.84,283.71,46.18,13.63,54.4,121.73
5,GOOG,SELL,100.0,2008-03-04 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98041.0,98041.0,56.62,31.52,27.73,66.44,54.92,42.01,47.94,39.12,23.14,18.54,52.86,19.21,24.41,29.41,47.48,44.79,20.02,54.37,13.69,80.48,14.22,33.84,47.78,43.48,34.7,25.9,18.26,37.9,32.69,20.93,20.89,57.61,202.6,37.4,17.12,210.94,13.13,46.61,47.05,27.63,6.88,135.37,26.31,82.86,40.84,19.45,106.73,19.87,104.61,47.1,61.95,68.14,25.89,91.23,9.29,21.53,659.7,29.14,45.96,30.9,12.83,6.05,116.55,42.4,80.15,49.64,39.86,32.34,25.6,88.53,64.12,23.14,19.55,27.1,19.6,87.36,116.78,21.21,53.65,26.97,32.79,51.01,42.42,752.81,18.77,26.77,20.45,78.89,17.92,57.32,32.73,444.6,27.34,42.2,26.79,27.61,77.89,280.08,46.59,13.66,54.88,121.26
6,,,,2008-03-05 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98041.0,98041.0,56.3,32.1,27.95,66.94,55.94,42.16,47.2,38.7,23.42,18.66,53.76,19.2,24.45,29.34,47.63,44.5,20.33,55.01,13.8,82.07,15.43,33.58,48.67,43.19,34.73,26.04,18.61,38.64,32.67,21.17,21.04,58.18,213.19,37.77,17.02,211.42,13.08,46.93,47.53,27.59,7.0,136.86,26.29,81.77,41.6,18.99,108.42,20.14,107.91,48.25,62.28,70.54,26.14,91.49,9.47,21.96,659.77,28.83,45.35,31.3,13.02,6.04,120.31,43.99,79.81,49.85,41.33,32.55,26.53,89.38,63.57,23.23,19.42,27.17,19.68,91.09,117.26,21.31,52.37,26.67,32.51,51.85,41.68,735.98,18.58,27.21,21.06,79.32,18.27,57.3,32.94,447.7,27.85,42.32,26.87,27.81,78.34,286.32,46.86,13.56,54.34,122.03
7,,,,2008-03-06 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98041.0,98041.0,55.43,30.62,27.45,64.85,54.09,41.57,45.76,37.81,22.97,17.79,53.03,18.93,23.98,28.49,46.25,44.89,19.84,53.7,13.7,81.08,15.49,33.02,47.28,41.21,33.71,25.78,17.98,37.87,32.1,19.84,20.6,58.01,208.77,36.94,17.05,202.06,12.68,46.1,46.78,26.88,6.8,132.44,25.65,79.61,40.98,18.4,109.21,19.9,107.13,47.87,61.52,68.13,25.51,90.59,9.02,21.72,642.88,27.81,44.7,30.48,12.45,5.86,118.38,42.17,78.47,49.13,40.29,31.97,25.73,88.9,60.31,23.3,18.75,26.46,19.32,90.19,113.67,20.86,51.9,26.16,31.17,50.1,40.24,707.44,18.17,26.71,20.58,78.69,18.68,54.93,31.54,432.7,27.49,41.26,26.58,27.29,75.93,270.76,46.08,13.33,52.66,119.5
8,,,,2008-03-07 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98041.0,98041.0,54.36,31.26,27.33,65.13,54.0,41.92,45.29,37.93,23.11,18.14,51.11,18.9,23.89,28.97,46.53,44.82,20.19,53.0,13.2,77.94,15.07,32.58,45.64,41.4,33.18,25.67,17.42,37.29,31.97,19.55,20.65,57.39,196.82,36.55,16.94,199.58,12.71,45.69,46.31,26.73,7.01,131.89,25.69,79.07,41.1,18.48,101.97,19.86,99.68,46.6,59.82,64.77,25.09,89.57,8.89,21.45,628.65,27.06,44.39,30.12,12.41,5.7,111.66,41.51,76.02,48.89,39.41,31.24,24.94,88.07,59.03,23.74,19.15,26.17,19.1,88.79,112.83,20.53,52.26,26.32,31.26,48.88,39.7,707.44,17.93,26.8,20.28,77.57,18.46,56.76,31.36,433.35,26.88,40.41,26.46,27.14,74.11,264.75,45.41,13.14,53.72,118.27
9,,,,2008-03-10 16:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98041.0,98041.0,53.89,33.21,27.33,63.09,52.65,41.6,45.88,37.71,23.66,17.78,49.99,18.87,24.43,28.87,46.54,43.88,19.81,52.21,12.97,75.19,14.93,32.29,45.22,40.84,31.88,25.59,17.47,36.53,32.01,18.43,20.23,57.36,176.57,35.27,16.76,187.94,12.54,46.0,44.68,26.46,6.72,122.93,25.66,77.17,40.77,17.69,93.45,19.39,94.77,46.42,58.36,60.94,23.27,88.52,8.68,21.13,615.14,26.8,44.51,30.41,11.98,5.52,102.56,42.14,70.75,48.67,39.0,30.15,24.18,85.63,56.94,23.43,19.09,25.7,18.95,87.36,110.23,20.09,51.16,26.13,30.74,49.03,39.07,692.1,17.9,27.12,19.63,77.21,18.73,55.38,31.51,413.62,26.36,39.7,26.19,26.59,74.09,255.58,46.74,12.97,52.79,116.71
